name	lat	lon
ARPG	36.059	-90.519
ARPK	39.041	38.487
ARQT	42.755	13.199
ARRA	38.493	-8.961
ARRD	38.983	-9.079
ARRO	48.1	1.123
ARRT	-37.283	142.931
ARRV	35.306	-93.131
ARSG	36.173	-94.117
ARSH	-3.387	36.698
ARSL	41.244	72.981
ARSM	35.363	-94.369
ARSP	40.207	-5.083
ARSS	36.191	-94.562
ARSX	43.5	12.947
ART1	39.159	20.992
ART2	39.153	20.933
ARTA	-38.618	176.136
ARTE	39.0	-119.409
ARTU	56.43	58.56
ARTV	41.175	41.818
ARUB	-31.809	125.924
ARUC	40.286	44.086
ARUF	43.1	-0.431
ARUN	-27.941	153.374
ARVA	39.803	-105.088
ARVC	61.098	-94.071
ARVE	45.744	-1.108
ARVL	-77.829	166.664
ARWY	35.253	-90.801
ARYB	47.618	25.211
ASAB	13.063	42.654
ASAP	53.251	-3.48
ASBL	49.633	-106.027
ASBU	43.821	-121.369
ASC1	-7.951	-14.412
ASCC	42.857	13.593
ASCG	-7.916	-14.333
ASCN	-7.951	-14.412
ASCO	42.822	13.637
ASCS	42.255	-77.797
ASEC	-0.497	-78.17
ASHF	-29.324	151.093
ASHL	42.181	-122.67
ASHM	36.346	-116.139
ASHV	35.599	-82.546
ASHW	44.479	-88.076
ASIA	45.866	11.525
ASKY	75.726	-58.257
ASKZ	51.098	71.403
ASMA	15.34	38.91
ASND	46.552	-90.914
ASOS	10.051	34.553
ASPA	-14.326	-170.722
ASSI	49.642	-106.014
AST1	39.39	-117.308
AST2	39.39	-117.309
AST3	46.318	48.053
ASTA	38.169	-121.684
ASTI	44.906	8.203
ASTO	42.457	-6.055
ASTU	42.193	-4.293
ASTY	36.545	26.353
ASUB	36.214	-81.682
ASUM	-0.619	34.617
AT01	63.484	-162.006
ATAL	38.653	22.999
ATBU	43.476	12.548
ATFO	43.37	12.567
ATH2	14.082	100.613
ATHE	-17.267	145.476
ATHI	37.935	23.699
ATHL	53.432	-7.908
ATHR	-33.448	117.02
ATIC	-16.231	-73.697
ATJN	-19.301	-70.137
ATL1	33.936	-84.52
ATLI	59.589	-133.714
ATLO	43.315	12.407
ATMA	44.131	-79.322
ATMI	43.334	12.267
ATQK	70.472	-157.408
ATR1	46.848	-71.261
ATR5	43.861	-79.38
ATRI	42.551	14.007
ATRM	43.861	-79.38
ATRS	37.244	22.835
ATRU	47.131	51.954
ATST	42.168	9.336
ATTA	14.809	106.828
ATTE	43.2	12.351
ATTL	52.517	0.988
ATW1	50.842	-102.216
ATW2	61.598	-149.132
ATWC	61.598	-149.132
ATWR	51.204	4.448
ATYR	47.093	51.885
AUB1	48.198	7.221
AUBG	48.421	10.921
AUBN	41.366	-85.054
AUBO	46.495	6.394
AUBR	35.937	-112.972
AUBT	43.651	0.751
AUBU	48.217	7.197
AUCH	43.65	0.581
AUCK	-36.603	174.834
AUDR	58.422	24.314
AUGL	59.37	-153.354
AUKT	-36.844	174.77
AULL	44.209	9.973
AULT	29.998	-95.745
AUMO	44.722	3.284
AUNI	46.104	-0.949
AURI	43.707	4.949
AURO	43.992	-79.455
AUT0	30.395	-97.735
AUT1	40.567	23.004
AUT2	46.971	4.303
AUTF	-54.84	-68.304
AUTN	46.954	4.289
AV01	59.359	-153.461
AV02	59.333	-153.428
AV03	59.381	-153.438
AV04	59.363	-153.445
AV05	59.363	-153.423
AV06	54.147	-165.766
AV07	54.163	-166.039
AV08	54.136	-166.028
AV09	53.876	-166.542
AV10	54.098	-165.934
AV11	59.371	-153.355
AV12	54.211	-165.898
AV13	54.153	-165.898
AV14	54.119	-165.842
AV15	54.1	-165.71
AV16	59.386	-153.535
AV17	59.404	-153.451
AV18	59.38	-153.437
AV19	59.355	-153.414
AV20	59.347	-153.428
AV21	59.37	-153.354
AV24	54.59	-164.755
AV25	54.53	-164.779
AV26	54.572	-164.58
AV27	54.492	-164.723
AV29	54.472	-164.586
AV34	54.725	-163.713
AV35	54.847	-164.387
AV36	54.772	-164.127
AV37	54.709	-163.997
AV38	54.831	-163.781
AV39	54.811	-163.998
AV40	54.645	-163.743
AVAL	47.494	3.915
AVCA	43.061	-82.688
AVE1	40.912	14.783
AVEL	41.882	0.751
AVEN	46.195	4.606
AVI2	40.664	-4.678
AVIL	40.651	-4.679
AVIS	39.057	-7.889
AVLN	-41.196	174.933
AVLS	43.566	-5.906
AVO1	41.11	15.083
AVO2	40.844	15.022
AVO3	40.874	14.63
AVO4	40.9	15.439
AVO5	51.504	-2.697
AVO6	27.595	-81.525
AVON	33.419	-112.346
AVOT	47.619	5.014
AVR1	44.956	5.653
AVRA	48.682	-1.363
AVRY	34.468	-117.154
AVTR	40.342	17.733
AVUN	-15.644	167.093
AWES	30.1	-90.983
AWIS	6.958	80.204
AXPV	43.491	5.333
AYD1	37.841	27.838
AYOR	39.061	-1.059
AYSE	-45.396	-72.681
AYVL	39.311	26.686
AZ36	32.477	-111.205
AZ3P	32.086	-111.292
AZAH	33.774	-111.892
AZAJ	33.415	-111.557
AZAM	31.73	-111.071
AZBC	34.057	-112.154
AZBH	35.107	-114.605
AZBK	33.37	-112.62
AZBR	32.259	-110.801
AZCA	32.501	-110.927
AZCC	31.39	-109.925
AZCG	32.88	-111.728
AZCK	33.832	-111.944
AZCL	32.984	-111.515
AZCN	36.84	-107.911
AZCO	31.391	-109.929
AZCS	33.66	-111.894
AZDG	31.345	-109.553
AZDS	35.533	-114.359
AZDT	31.96	-110.771
AZFH	33.57	-111.709
AZFL	35.177	-111.657
AZFM	34.852	-114.595
AZGA	32.947	-112.715
AZGB	33.395	-110.771
AZGE	33.453	-112.354
AZGI	33.313	-111.727
AZGL	33.443	-110.833
AZGR	39.088	-28.023
AZGT	33.372	-111.824
AZGV	35.254	-114.254
AZKG	35.19	-114.053
AZKR	33.059	-110.91
AZLH	34.508	-114.347
AZM1	33.028	-112.056
AZMA	32.568	-111.344
AZMO	33.06	-112.261
AZMP	35.371	-114.154
AZNE	32.676	-114.596
AZPA	33.693	-112.278
AZPE	33.575	-112.256
AZPG	36.909	-111.463
AZPK	34.145	-114.292
AZPS	34.609	-112.461
AZPV	34.588	-112.318
AZPX	33.499	-112.047
AZQZ	33.666	-114.227
AZRT	32.134	-111.183
AZRV	34.132	-109.281
AZRY	33.54	-116.63
AZSA	32.802	-109.711
AZSC	33.492	-111.923
AZSD	33.486	-111.863
AZSF	32.802	-109.712
AZSG	35.329	-112.886
AZSM	32.596	-110.624
AZSR	34.132	-109.281
AZST	33.168	-111.635
AZSV	34.265	-111.241
AZT1	39.371	-104.861
AZTC	36.128	-111.239
AZTH	33.492	-112.874
AZTN	32.19	-110.964
AZTP	33.446	-111.938
AZTU	32.305	-111.002
AZU1	34.126	-117.896
AZUE	7.956	-80.433
AZUL	-36.767	-59.881
AZUP	33.481	-111.62
AZUT	7.405	-80.435
AZVA	31.954	-110.77
AZWA	33.859	-112.662
AZWE	33.822	-113.542
AZWK	33.958	-112.745
AZWX	32.258	-109.83
AZYC	34.879	-114.147
AZYU	32.658	-114.527
AZYW	32.684	-114.642
B136	26.889	89.454
B489	27.517	90.537
